STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018/1/1,0.45,,48,38
USW00025333,"SITKA AIRPORT, AK US",2018/1/2,0.56,,48,43
USW00025333,"SITKA AIRPORT, AK US",2018/1/3,0.4,,46,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/4,0.99,,42,40
USW00025333,"SITKA AIRPORT, AK US",2018/1/5,0.25,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018/1/6,0.46,,,37
USW00025333,"SITKA AIRPORT, AK US",2018/1/7,0.01,,39,30
USW00025333,"SITKA AIRPORT, AK US",2018/1/8,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",2018/1/9,0.13,,34,25
USW00025333,"SITKA AIRPORT, AK US",2018/1/10,0,,28,24
USW00025333,"SITKA AIRPORT, AK US",2018/1/11,0,,34,23
USW00025333,"SITKA AIRPORT, AK US",2018/1/12,0.18,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/13,0.05,,53,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/14,0.07,,63,52
USW00025333,"SITKA AIRPORT, AK US",2018/1/15,0.01,,60,52
USW00025333,"SITKA AIRPORT, AK US",2018/1/16,0.4,,54,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/17,0.01,,47,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/18,0,,46,35
USW00025333,"SITKA AIRPORT, AK US",2018/1/19,0,,42,37
USW00025333,"SITKA AIRPORT, AK US",2018/1/20,0,,45,39
USW00025333,"SITKA AIRPORT, AK US",2018/1/21,0,,43,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/22,0.42,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/23,0,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/24,0.04,,40,34
USW00025333,"SITKA AIRPORT, AK US",2018/1/25,0,,40,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/26,0.16,,41,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/27,0,,39,29
USW00025333,"SITKA AIRPORT, AK US",2018/1/28,0,,40,34
USW00025333,"SITKA AIRPORT, AK US",2018/1/29,0,,40,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/30,0,,39,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/31,0,,36,29
USW00025333,"SITKA AIRPORT, AK US",2018/2/1,0,,35,31
USW00025333,"SITKA AIRPORT, AK US",2018/2/2,0,,35,26
